symbol,name,weight
NVDA,NVIDIA CORP,7.654602
AAPL,APPLE INC,6.815728
GOOGL,Alphabet Inc. (Combined),6.041812999999999
MSFT,MICROSOFT CORP,5.540172
AMZN,AMAZON.COM INC,4.252059
AVGO,BROADCOM INC,2.84054
META,META PLATFORMS INC CLASS A,1.982293
JPM,JPMORGAN CHASE + CO,1.445409
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.439045
MU,MICRON TECHNOLOGY INC,1.430888
TSLA,TESLA INC,1.387009
LLY,ELI LILLY + CO,1.356915
AMD,ADVANCED MICRO DEVICES,1.208845
XOM,EXXONMOBIL HOLDINGS CORP,0.982797
JNJ,JOHNSON + JOHNSON,0.936865
V,VISA INC CLASS A SHARES,0.928034
WMT,WALMART INC,0.742139
MA,MASTERCARD INC   A,0.704412
CSCO,CISCO SYSTEMS INC,0.699695
ABBV,ABBVIE INC,0.662507
INTC,INTEL CORP,0.657708
COST,COSTCO WHOLESALE CORP,0.647143
AMAT,APPLIED MATERIALS INC,0.62917
BAC,BANK OF AMERICA CORP,0.623641
GE,GENERAL ELECTRIC,0.58848
