symbol,name,weight
NVDA,NVIDIA CORP,7.654602
AAPL,APPLE INC,6.815728
MSFT,MICROSOFT CORP,5.540172
AMZN,AMAZON.COM INC,4.252059
GOOGL,ALPHABET INC CL A,3.349506
AVGO,BROADCOM INC,2.84054
GOOG,ALPHABET INC CL C,2.692307
META,META PLATFORMS INC CLASS A,1.982293
JPM,JPMORGAN CHASE + CO,1.445409
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.439045
MU,MICRON TECHNOLOGY INC,1.430888
TSLA,TESLA INC,1.387009
LLY,ELI LILLY + CO,1.356915
AMD,ADVANCED MICRO DEVICES,1.208845
XOM,EXXONMOBIL HOLDINGS CORP,0.982797
JNJ,JOHNSON + JOHNSON,0.936865
V,VISA INC CLASS A SHARES,0.928034
WMT,WALMART INC,0.742139
MA,MASTERCARD INC   A,0.704412
CSCO,CISCO SYSTEMS INC,0.699695
ABBV,ABBVIE INC,0.662507
INTC,INTEL CORP,0.657708
COST,COSTCO WHOLESALE CORP,0.647143
AMAT,APPLIED MATERIALS INC,0.62917
BAC,BANK OF AMERICA CORP,0.623641
GE,GENERAL ELECTRIC,0.58848
CAT,CATERPILLAR INC,0.584902
UNH,UNITEDHEALTH GROUP INC,0.576675
LRCX,LAM RESEARCH CORP,0.563662
CVX,CHEVRON CORP,0.552877
HD,HOME DEPOT INC,0.517743
PG,PROCTER + GAMBLE CO/THE,0.516082
KO,COCA COLA CO/THE,0.514172
MRK,MERCK + CO. INC.,0.4826
NFLX,NETFLIX INC,0.472046
GS,GOLDMAN SACHS GROUP INC,0.463196
PM,PHILIP MORRIS INTERNATIONAL,0.446693
RTX,RTX CORP,0.446191
PLTR,PALANTIR TECHNOLOGIES INC A,0.441029
PANW,PALO ALTO NETWORKS INC,0.43053
GEV,GE VERNOVA INC,0.413579
WFC,WELLS FARGO + CO,0.41132
MS,MORGAN STANLEY,0.387235
TXN,TEXAS INSTRUMENTS INC,0.374549
ORCL,ORACLE CORP,0.367963
KLAC,KLA CORP,0.365251
C,CITIGROUP INC,0.348396
LIN,LINDE PLC,0.339717
TMO,THERMO FISHER SCIENTIFIC INC,0.326319
IBM,INTL BUSINESS MACHINES CORP,0.325295
